Date,Time of day,Scheduled commercial net export[MWh],Denmark 2 (export)[MWh],Denmark 2 (import)[MWh],Poland (export)[MWh],Poland (import)[MWh],Czech Republic (export)[MWh],Czech Republic (import)[MWh]
01.01.2015,00:00,-597,317,-0,0,-200,0,-714
01.01.2015,01:00,-271,600,-0,0,-140,0,-731
01.01.2015,02:00,-115,600,-0,0,-0,20,-735
01.01.2015,03:00,-154,600,-25,0,-0,5,-734
01.01.2015,04:00,53,600,-7,0,-0,200,-740
01.01.2015,05:00,-81,546,-0,0,-0,121,-748
01.01.2015,06:00,21,600,-0,0,-0,140,-719
01.01.2015,07:00,-110,600,-0,0,-0,0,-710
01.01.2015,08:00,229,600,-0,0,-0,363,-734
01.01.2015,09:00,116,600,-0,0,-0,163,-647
01.01.2015,10:00,205,600,-0,0,-0,283,-678
01.01.2015,11:00,171,600,-0,0,-0,243,-672
01.01.2015,12:00,139,600,-0,0,-0,288,-749
01.01.2015,13:00,201,600,-0,0,-0,343,-742
01.01.2015,14:00,330,600,-0,0,-0,318,-588
01.01.2015,15:00,293,600,-0,0,-0,253,-560
01.01.2015,16:00,202,600,-0,0,-0,132,-530
01.01.2015,17:00,77,600,-0,0,-0,153,-676
01.01.2015,18:00,-141,600,-0,0,-0,143,-884
01.01.2015,19:00,-160,600,-0,0,-0,148,-908
01.01.2015,20:00,249,600,-0,0,-0,374,-725
01.01.2015,21:00,-82,448,-0,0,-0,210,-740
01.01.2015,22:00,-351,244,-0,0,-0,291,-886
01.01.2015,23:00,-215,192,-0,0,-0,478,-885
02.01.2015,00:00,-441,583,-26,0,-0,50,-1.048
02.01.2015,01:00,-648,450,-150,0,-0,192,-1.140
02.01.2015,02:00,-422,393,-0,0,-0,250,-1.065
02.01.2015,03:00,-149,600,-0,0,-0,272,-1.021
02.01.2015,04:00,-291,600,-50,0,-0,280,-1.121
02.01.2015,05:00,-440,600,-168,0,-0,242,-1.114
02.01.2015,06:00,-570,600,-0,0,-0,282,-1.452
02.01.2015,07:00,-735,600,-0,0,-0,237,-1.572
02.01.2015,08:00,-618,600,-0,0,-0,322,-1.540
02.01.2015,09:00,-726,600,-0,0,-0,165,-1.491
02.01.2015,10:00,-786,600,-0,0,-0,84,-1.470
02.01.2015,11:00,-744,600,-0,0,-0,196,-1.540
02.01.2015,12:00,-624,600,-0,0,-0,329,-1.553
02.01.2015,13:00,-658,600,-0,0,-0,280,-1.538
02.01.2015,14:00,-640,600,-0,0,-0,264,-1.504
02.01.2015,15:00,-660,600,-0,0,-0,211,-1.471
02.01.2015,16:00,-526,600,-0,0,-0,304,-1.430
02.01.2015,17:00,-479,600,-0,0,-0,375,-1.454
02.01.2015,18:00,-200,600,-0,0,-0,250,-1.050
02.01.2015,19:00,-329,600,-0,0,-0,244,-1.173
02.01.2015,20:00,-280,600,-0,0,-0,143,-1.023
02.01.2015,21:00,-354,558,-0,0,-0,160,-1.072
02.01.2015,22:00,-945,113,-0,0,-0,160,-1.218
02.01.2015,23:00,-821,304,-50,0,-0,150,-1.225
03.01.2015,00:00,-93,278,-0,0,-0,206,-577
03.01.2015,01:00,17,178,-20,0,-0,421,-562
03.01.2015,02:00,17,174,-0,0,-0,405,-562
03.01.2015,03:00,-17,130,-0,0,-0,416,-563
03.01.2015,04:00,-91,185,-2,0,-0,281,-555
03.01.2015,05:00,-112,303,-1,0,-0,221,-635
03.01.2015,06:00,2,472,-0,0,-0,133,-603
03.01.2015,07:00,117,600,-0,0,-0,70,-553
03.01.2015,08:00,147,600,-0,0,-0,78,-531
03.01.2015,09:00,280,600,-0,0,-0,167,-487
03.01.2015,10:00,251,600,-0,0,-0,133,-482
03.01.2015,11:00,217,600,-0,0,-0,112,-495
03.01.2015,12:00,241,600,-0,0,-0,176,-535
03.01.2015,13:00,148,600,-99,0,-0,167,-520
03.01.2015,14:00,269,391,-0,0,-0,343,-465
03.01.2015,15:00,-171,480,-585,0,-0,394,-460
03.01.2015,16:00,-596,208,-585,0,-0,213,-432
03.01.2015,17:00,-1.161,0,-585,0,-330,185,-431
03.01.2015,18:00,-1.338,0,-585,0,-370,65,-448
03.01.2015,19:00,-897,293,-585,0,-280,95,-420
03.01.2015,20:00,70,893,-585,0,-0,202,-440
03.01.2015,21:00,309,572,-0,0,-0,165,-428
03.01.2015,22:00,287,575,-0,0,-0,158,-446
03.01.2015,23:00,127,600,-79,0,-0,130,-524
04.01.2015,00:00,323,600,-0,0,-0,180,-457
04.01.2015,01:00,122,600,-0,0,-0,85,-563
04.01.2015,02:00,318,600,-21,0,-0,218,-479
